Data_Medicao;Precipitacao_total_diario(AUT)(mm);Pressao_atmosferica_media_diario(AUT)(mB);Temperatura_ponto_orvalho_media_diario(AUT)(°C);Temperatura_maxima_diario(AUT)(°C);Temperatura_minima_diario(AUT)(°C);Umidade_relativa_do_ar_media_diario(AUT)(%);Vento_velocidade_media_diario(AUT)(m/s)
01/01/2010;3,4;923,1;19,1;23,8;20,3;87,4;2,2
02/01/2010;10;925,1;19,1;29,7;19;83,9;1,1
03/01/2010;30;926,7;19,9;31,7;19,7;78,2;1,5
04/01/2010;0,4;926,7;18,8;32,5;21,5;74,3;1,9
05/01/2010;13,4;923,9;19,1;32,2;20;73,4;1,8
06/01/2010;51;921,7;18,2;30,2;19,5;73;2,4
07/01/2010;7,4;922,6;19,2;28,2;20,9;78,2;2,2
08/01/2010;0,8;924,8;20;28,4;21,1;85,4;1,7
09/01/2010;29,4;925,3;19;31,5;20,2;74,4;1,8
10/01/2010;0,2;924,2;18,6;32,5;22,1;65,5;2,6
11/01/2010;0,8;923,8;18,3;31,1;23;67;1,9
12/01/2010;29;923,8;16,8;31,7;18;62,6;1,8
13/01/2010;2,8;924,6;17;31,4;21,6;61;2,4
14/01/2010;0;924,7;18,4;26,7;21,7;72,8;2
15/01/2010;7;928,5;16,9;23,3;19,8;77,5;2,3
16/01/2010;0;929,2;17,6;28;18,9;75,9;2,4
17/01/2010;23,4;928,7;18;28,6;19,9;72;1,9
18/01/2010;12,4;927;18,6;29,5;19,8;75,3;1,8
19/01/2010;24,6;925,1;18,1;30,5;20,5;71,9;2,5
20/01/2010;20,8;923,5;17,8;31;20,2;68;2,5
21/01/2010;43,4;923,8;19,7;28,7;19,8;78,5;1,9
22/01/2010;9;925;18,2;23,9;19,3;79,3;2,1
23/01/2010;1,4;925,2;19,2;null;19,5;82,5;1,4
24/01/2010;19,4;925,1;18,4;27,9;18,1;85,2;1,4
25/01/2010;18;924,8;19,4;27,1;18,5;84,9;1,4
26/01/2010;16,4;924,3;19;27,3;18,1;86;1,3
